"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1sulunpquhj6p2w89wqnvp9z534sppmn6ggme2j","","","36534461.501348","0.01645873893078386"
"terra1mgwdlvafnylsl23es3ca6p9dsm4nl54k2k9xck","","","35822189.974815","0.016137861309456256"
"terra1wfla9k8n74qrlfvrtshcudy6u3qkhc6sklz9x3","","","35000000","0.01576746553541457"
"terra1nxya54lzuszfqjanqrs4gxgd3ysune3tfg8vjt","","","34959667.44011","0.015749295756899696"
"terra1z75yypurfmnektxkl3v2y7e3xgnutfqc0ngur5","","","33134131.404276","0.01492689357036627"
"terra1247xf3nz6atlsmxdz43h37c83tcdnuknc80f48","","","32412210.873666","0.014601669082203374"
"terra1rr6z322wwf2083pq57haves8q3q9vzjqju3za5","","","31798938.388073","0.01432539043133464"
"terra1ey9z5wwr6nf8mh96ruhwy6sc5gmuntfuyfdqdx","","","31432907.410103","0.014160493836190753"
"terra1hzsem376yhguf406dq7qj0a203a6y2527zmkpd","","","30000000","0.013514970458926774"
"terra14rpmltqh5ymwfvc24k9dyfx02lzgnuu0c5m5cm","","","29515849.539858","0.013296861153376943"
"terra1p8rdxef56qk5j4hvxs5zjkvyjkm3vnyqqqnnm7","","","29313801.233937","0.013205838590516994"
"terra13uanxtr3llvujskwx9rhf26q2jpmj4vpc545rw","","","29303528.081976","0.01320121054567456"
"terra1ea9jjsrq0vsp9949kk5q25mjctn5yawaxdheky","","","29297695.938903","0.0131985831709631"
"terra1xsmxfgkhuq2u28sex2py6xk8sdcz7veu8dwllz","","","29000000","0.013064471443629216"
"terra1dqst5kxwruc4g4fflv9rejmrcm0ezkxc2zw4x5","","","27642383","0.01245286632197799"
"terra12sxrtp6rwmlyx622vmk8xe9vc9dm7hdjuyp6kg","","","27163119.96384","0.012236958796119392"
"terra10kmr23va9jn4zw8tkqfal7w6ng8wkgvwk3crpq","","","26607578.466077","0.011986687898420228"
"terra1uu7e9k45edcghz2m3tljzwpq92ef5rwmg0gc23","","","26228259.125432","0.011815804908976338"
"terra1ndszrke4zn9a4vxexttp4rvvps9h4p9yljxz6t","","","26225919.506817","0.011814750913094106"
"terra1zjsw5243luc83kgppu0ew40w6qu67r2gxrlpzk","","","25844839.094199","0.01164307456246051"
"terra1cqp54vf2ncajhkp6dr5kcn75e6rv9xpzht8uge","","","25700446.05225","0.011578025639246666"
"terra1yygu2wuj3t5cdyc5pyhzjngp0ana7eyykqdly7","","","25581083.204748","0.011524252793983903"
"terra15upglt0x3l4jaksduayunspkw5m2luhj09aam4","","","25384566.004803","0.011435721988919647"
"terra1na0f9fkyys8lhu9340qj3m43syhq4z70zar46t","","","25128097.803351","0.011320183316710385"
"terra16d6pzemu64ckee4l9t2ryrpjdgdrmxzd5jaajp","","","25000000","0.01126247538243898"
"terra1gg3rc59scj7y8rgd0sdqqfdagf7h3ffnxpprpp","","","24991744.86503","0.011258756452263846"
"terra1rdqan8fjdlx9j7y7uv7gfwn4hd7tukfwlymcxd","","","24613667.90099","0.011088433152257136"
"terra158vqm8qvvlffz4g39apyugnny6cany8gsjaf70","","","24529630.136804","0.011050574222243535"
"terra1wm2pq548f9cv8wzkgmz8r948w9e4a2lfk7vvyx","","","24275965.39147","0.01093629850425486"
"terra1y8ekqq4tsvkl69pjd3qe7as3j4rrrqja43ne3p","","","23900351.611847","0.010767084866402505"
"terra1q6wxdv6rc7p4jjhayg4smj7trxcmwfy44yqk3n","","","23773126.656075","0.010709770149105943"
"terra1jnq2c40vxqqsts3dq2v0pzzpd38p86lq02tsm6","","","23356684.283877","0.010522163270502566"
"terra15kkv0vhwvmlfd48y0pt9qr8q90d929naa2ptcc","","","22849816.712803","0.010293819928847462"
"terra1gt34vqgxpkeysrkmq7j3992hv83yyaf49pgw9d","","","22380080.297689","0.0100822041363892"
"terra10w4r9qgtslmk956nshl8f99srwkrpavhd6n6vq","","","22262907.860984","0.010029418069033583"
"terra16rhrvl9ajt9mty7cysu76humsdq2ze3j48500f","","","22250751.913394","0.010023941826614279"
"terra1sxvumj356uzmes9r382ytz3w8e42z4kqgxc095","","","22000000","0.009910978336546302"
"terra1hjdrzs6g4u8c23sz8rsxsshkuncpr28sy5g6rw","","","21937873.554374","0.009882990433967852"
"terra1ne8p3j7f8469mj5lnwqyva94lf3ckxtmwjcey7","","","21851067.783818","0.009843884519810229"
"terra17wzr5y843lwq2phfp5na3rurw2jvpfrh6v2pva","","","21467853.347023","0.009671246793386271"
"terra12saxy20x0x3n7efuxpfeq4jqp0vqpazyza0e5m","","","21313000","0.009601485513036878"
"terra1qyqrfwzy0chh4ld6xfdrggetxyhze2sv3mc6ph","","","21229423.847125","0.009563834538464332"
"terra1cxakwsmzgt58e8x8fdrv8s49z8pyu8kf30h2de","","","21089207.307858","0.009500667125596118"
"terra1fd7aw5j3sn5h8cy7duxzqxwg7k0xtvv3sg846z","","","20599396.111217","0.009280007663827628"
"terra1866z3phvwf090m272z7kxn3yf7mdu3hqqm9z9q","","","20225151.708568","0.009111410928953631"
"terra16vnmejq27c3s9ut4mnlrwfq3vlpjmsd3xs3w60","","","20026308.069592","0.00902183206539676"
"terra1nkzmg7dlkhdqyecr5jn63l4xyqjhccz5cm28cn","","","19838885.614146","0.008937398433773686"
"terra1ylsu030krfe6twn08ratevt0svx3s9knt06zlz","","","19700181.576388","0.008874912401345912"
"terra1jnhje42mwh7yzxcc459vl3vpnn9a05m67jz9yg","","","18000000","0.008108982275356065"
"terra1uwv059vl65l4k5l8y4j3fpm84kg8lqve5e63nd","","","17589797.512848","0.00792418645882148"
"terra188hq77mad9p4xdsfqhkulvp94cq5rh8pvx55xc","","","17220899.373574","0.007757998210333441"
"terra1a320w82d45sy5sn88khh5a57r6q5cnehyxxhjy","","","17200000","0.007748583063118018"
"terra126pzz4ed3r6v65jen9ex6u7ttdv7c0nytl7djf","","","16450000","0.007410708801644849"
"terra1cczlrgqpr39pkmykuwmfwxgs45v7v9ckpkyc6y","","","16115807.952674","0.00726015561340421"
"terra1y5mneh2gamuztzza42pdd89u47sdx9kqdy022l","","","15595257.199859","0.00702564801184865"
"terra1j8ghpaj8y0wl67pg732hu85mfvn90lemtekmfc","","","15491118.038331","0.006978733422126372"
"terra1mq7zc8xjc5mye7vcpqfjwcchs9zsf45pxtwyre","","","15194061.50989","0.00684490974857599"
"terra1mwrjk6lrxzugpf3z6knghz9knf8suryfea0hfs","","","15103120.23107","0.006803940792017679"
"terra1hars4fft85z23dhltn8lpzwdns9l9zdnj0fvr0","","","14222364.459239","0.006407161184090172"
"terra1qgjywmavwajy24te4ja9kx0lpzpvvwup4el57d","","/placeholders/3.svg","13927506.107884","0.006274327787152483"
"terra1srf8k6p443w4eref98fwvw7trdqwxlysuujuzn","","","13875706.219465","0.0062509919884272"
"terra1wq5h4cf5fqtt5yf9xr3r34v350czs4z0xwnlvu","","/placeholders/2.svg","13760000","0.006198866450494414"
"terra1dm3zr2q8v9e29sk5twg02pls4mlp74jjhv3vve","","","13523715.982845","0.006092420733435535"
"terra1l3gzx2hk3n8gruz59utxzl9yvts7jwsed25qpa","","","13052588.223125","0.00588017814160233"
"terra1pjklmvkkyvfuhqr8ja8g9t3uu7t6ftdgtz4g6v","","","13017366.537187","0.005864310806770141"
"terra1az2wlg82uwee62yf4rffe5zaqxtmxs6l9lpcn2","","/placeholders/1.svg","12425354.384422","0.005597609914905321"
"terra1kt5wxtdjewnwlg68scjpknxaz0jgvzskxs3lta","","","12396224.580485","0.005584486966915891"
"terra1caqnsrs6tm3rmvxm477t7apvxqlz02qx6nr5rl","","","12062505.778796","0.005434146975368715"
"terra18e0c3dnw0m34m4hm75k3766p4h85wl0355s3cc","","/placeholders/2.svg","12000000","0.00540598818357071"
"terra1vrhte87fr6688zcr4lpp06z3rjyn2032zvhjs0","","","11841789.964537","0.005334714718384437"
